Dấu thời gian,Bạn là sinh viên năm mấy ?,Trung bình tuần bạn giành thời gian bao lâu để học ngoài giờ trên lớp?,"Số môn hiện tại học kì này bạn đang học là bao nhiêu môn?
",Hiện tại bạn có đang đi làm thêm không?,Bạn có tham gia CLB đoàn hội của trường không?,Tỷ lệ tham gia các buổi học trên lớp của bạn trung  bình là bao nhiêu?,Bạn thường học theo hình thức nào ?,Thời gian trung bình bạn dành ra để ngủ là bao lâu?,Bạn dành thời gian trung bình bao lâu trong 1 ngày để lướt mạng xã hội,GPA kì gần nhất của bạn là bao nhiêu?
5/18/2026 23:21:14,Năm 1,15 - 20 tiếng,13,Không,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,4 - 6 tiếng,3.0 - 3.5
5/18/2026 23:22:08,Năm 1,10 - 15 tiếng,10,Dưới 20 tiếng/ tuần,CÓ,70 - 90%,Cả 2,6 - 8 tiếng,> 6 tiếng,2.5 - 3.0
5/18/2026 23:23:14,Năm 2,> 20 tiếng,9,Không,KHÔNG,70 - 90%,Cả 2,< 5 tiếng,4 - 6 tiếng,> 3.5
5/18/2026 23:24:09,Năm 1,6-10 tiếng,10,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/18/2026 23:24:42,Năm 3,> 20 tiếng,11,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/18/2026 23:25:41,Năm 1,15 - 20 tiếng,12,Dưới 20 tiếng/ tuần,KHÔNG,> 90 %,Cả 2,5 - 6 tiếng,4 - 6 tiếng,3.0 - 3.5
5/18/2026 23:30:33,Năm 3,> 20 tiếng,7,Dưới 20 tiếng/ tuần,CÓ,> 90 %,Cả 2,5 - 6 tiếng,4 - 6 tiếng,3.0 - 3.5
5/18/2026 23:31:09,Năm 1,10 - 15 tiếng,10,Không,CÓ,> 90 %,Cả 2,< 5 tiếng,> 6 tiếng,3.0 - 3.5
5/18/2026 23:31:34,Năm 2,> 20 tiếng,8,Không,KHÔNG,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/18/2026 23:32:06,Năm 1,15 - 20 tiếng,9,Không,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
5/18/2026 23:36:36,Năm 1,15 - 20 tiếng,8,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,> 3.5
5/18/2026 23:37:04,Năm 1,15 - 20 tiếng,10,Trên 20 tiếng/tuần,CÓ,> 90 %,Cả 2,6 - 8 tiếng,4 - 6 tiếng,3.0 - 3.5
